priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
77,1,register,register,active,active,high,forms-services,4.59,5.24,ready,2197,5,3,21,1,ysgpc/Word List5/Word List5-Unit3.mp3,61.3,61.91
78,1,reliable,reliable,active,active,high,forms-services,4.29,4.29,ready,1519,4,1,36,1,ysgpc/Word List4/Word List4-Unit1.mp3,99.97,100.62
79,1,resolution,resolution,active,active,high,forms-services,4.59,4.59,ready,389,1,4,90,1,ysgpc/Word List1/Word List1-Unit4.mp3,242.9,243.63
80,1,secure,secure,active,active,high,forms-services,4.64,4.64,ready,1064,3,1,76,1,ysgpc/Word List3/Word List3-Unit1.mp3,204.22,204.8
81,1,submission,submission,active,active,high,forms-services,4.07,4.07,ready,2865,6,4,94,1,ysgpc/Word List6/Word List6-Unit4.mp3,253.14,253.82
82,1,submit,submit,active,active,high,forms-services,4.28,4.93,ready,2978,7,1,9,1,ysgpc/Word List7/Word List7-Unit1.mp3,28.43,29.08
83,1,substitute,substitute,active,active,high,forms-services,4.17,4.17,ready,217,1,3,17,1,ysgpc/Word List1/Word List1-Unit3.mp3,49.46,50.23
84,1,terminal,terminal,active,active,high,forms-services,4.31,4.31,ready,3449,7,5,87,1,ysgpc/Word List7/Word List7-Unit5.mp3,235.27,235.77
85,1,transaction,transaction,active,active,high,forms-services,4.21,4.21,ready,341,1,4,42,1,ysgpc/Word List1/Word List1-Unit4.mp3,116.71,117.5
86,1,transition,transition,active,active,high,forms-services,4.46,4.46,ready,403,1,5,7,1,ysgpc/Word List1/Word List1-Unit5.mp3,23.05,23.76
87,1,uniform,uniform,active,active,high,forms-services,4.33,4.33,ready,2643,6,2,70,1,ysgpc/Word List6/Word List6-Unit2.mp3,190.04,190.65
88,1,valid,valid,active,active,high,forms-services,4.38,5.03,ready,2572,6,1,99,1,ysgpc/Word List6/Word List6-Unit1.mp3,266.12,266.61
89,1,verify,verify,receptive,active,high,forms-services,3.88,3.88,ready,222,1,3,22,1,ysgpc/Word List1/Word List1-Unit3.mp3,63.29,63.95
